"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"1","2016-07-03","2016-07-03_18:57:39.782",481.906547878005,508.303889626489,492.790116601393,523.817662651584
"2","2016-07-03","2016-07-03_18:57:40.434",528.044177481955,509.882909382642,494.474263267267,525.291555498018
"3","2016-07-03","2016-07-03_18:57:41.012",526.453182391816,511.280447159168,495.964348056726,526.59654626161
"4","2016-07-03","2016-07-03_18:57:42.134",532.801944149511,513.987255595107,498.849050698523,529.125460491691
"5","2016-07-03","2016-07-03_18:57:42.730",534.417003647381,515.421858573534,500.377198933625,530.466518213444
"6","2016-07-03","2016-07-03_18:57:43.296",534.417003647381,516.78217922663,501.825739838921,531.738618614339
"7","2016-07-03","2016-07-03_18:57:44.569",530.152970926541,519.834362537231,505.074126495462,534.594598579
"8","2016-07-03","2016-07-03_18:57:45.716",556.136929059431,522.575796014394,507.989688600142,537.161903428647
"9","2016-07-03","2016-07-03_18:57:46.250",556.136929059431,523.84932309253,509.343415600688,538.355230584372
"10","2016-07-03","2016-07-03_18:57:46.801",556.136929059431,525.161549712303,510.737812810471,539.585286614135
"11","2016-07-03","2016-07-03_18:57:48.144",547.72407252293,528.352144349059,514.126189359483,542.578099338634
"12","2016-07-03","2016-07-03_18:57:49.111",578.075032163836,530.64264950713,516.556887041769,544.728411972491
"13","2016-07-03","2016-07-03_18:57:49.871",578.075032163836,532.438857879441,518.461962276199,546.415753482683
"14","2016-07-03","2016-07-03_18:57:51.253",541.135537996144,535.696196258373,521.914270219441,549.478122297305
"15","2016-07-03","2016-07-03_18:57:51.934",539.561950844218,537.297084181783,523.609797844242,550.984370519324
"16","2016-07-03","2016-07-03_18:57:52.605",539.561950844218,538.871759725417,525.276789685249,552.466729765585
"17","2016-07-03","2016-07-03_18:57:53.316",535.157901586329,540.537388524967,527.039220710818,554.035556339116
"18","2016-07-03","2016-07-03_18:57:54.055",543.253401840261,542.265444668482,528.866775386332,555.664113950632
"19","2016-07-03","2016-07-03_18:57:54.815",541.673650260492,544.039254245894,530.741717482794,557.336791008993
"20","2016-07-03","2016-07-03_18:57:55.608",590.647376971734,545.886477900223,532.69316717004,559.079788630407
"21","2016-07-03","2016-07-03_18:57:57.315",550.720170960543,549.850370928583,536.876882501414,562.823859355753
"22","2016-07-03","2016-07-03_18:57:58.025",550.720170960543,551.494132120354,538.610238874763,564.378025365944
"23","2016-07-03","2016-07-03_18:57:59.289",550.720170960543,554.413336151862,541.686256053168,567.140416250556
"24","2016-07-03","2016-07-03_18:58:03.382",551.762663854332,563.80405023826,551.560829952874,576.047270523646
"25","2016-07-03","2016-07-03_18:58:04.486",553.279039242054,566.320982634826,554.20194893564,578.440016334012
"26","2016-07-03","2016-07-03_18:58:05.766",577.541450757469,569.230767472141,557.252326744535,581.209208199748
"27","2016-07-03","2016-07-03_18:58:06.535",571.475776352963,570.974605863589,559.078874235116,582.870337492062
"28","2016-07-03","2016-07-03_18:58:07.362",568.442957032069,572.846384847513,561.038125739248,584.654643955779
"29","2016-07-03","2016-07-03_18:58:08.194",569.959365202386,574.725753157958,563.003950960389,586.447555355527
"30","2016-07-03","2016-07-03_18:58:16.206",570.739848852678,592.636501228118,581.667894413897,603.605108042339
"31","2016-07-03","2016-07-03_18:58:18.121",565.001520623557,596.8684794814,586.058716744273,607.678242218527
"32","2016-07-03","2016-07-03_18:58:19.025",591.976570085254,598.859623114113,588.122037516445,609.59720871178
"33","2016-07-03","2016-07-03_18:58:24.897",498.413968651931,611.682693189557,601.370599082239,621.994787296875
"34","2016-07-03","2016-07-03_18:58:28.355",598.912179915426,619.14380069641,609.047745218147,629.239856174674
"35","2016-07-03","2016-07-03_18:58:29.990",616.15451508028,622.648020356961,612.645404822845,632.650635891077
"36","2016-07-03","2016-07-03_18:58:30.815",567.302314924588,624.410447397596,614.45289048174,634.368004313452
"37","2016-07-03","2016-07-03_18:58:33.476",645.740327117783,630.068658307672,620.247024568248,639.890292047096
"38","2016-07-03","2016-07-03_18:58:34.332",576.323100247688,631.880210085409,622.099287882615,641.661132288203
